用户性别,用户教育程度,收入程度,支出程度,浏览次数,上期还款差额,信用卡额度,平均本期账单最低还款额,平均消费笔数,平均本期账单金额,是否逾期
1,4,0.0,11.192152162629771,1710,2.730547249999999,19.971270999999998,17.220095249999996,10.75,18.825106750000003,0
1,4,0.0,12.457336948979597,420,-3.524091555555561,19.973385333333322,17.866452777777774,1.4444444444444444,19.007283888888885,0
2,2,0.0,11.430923427184473,702,0.07333679166666585,18.3071255,10.292787791666667,1.7916666666666667,17.19913358333333,0
1,4,14.473609428571427,10.781947494714588,783,19.825318000000003,19.740221333333334,15.902257333333333,0.0,12.969975333333332,0
1,4,0.0,11.034575847507337,671,-12.607495415094338,17.309158446540867,18.206423257861637,2.251572327044025,15.892834496855338,0
1,4,0.0,10.239244616389609,60,-3.6916639090909094,20.441273999999996,18.41304481818182,3.090909090909091,0.0,1
1,4,0.0,11.97754363913596,549,0.9268492777777766,18.371968055555552,13.774421666666669,1.3888888888888888,14.414820388888892,0
1,2,0.0,10.372598159601027,1529,0.33385810909090274,19.61852305818182,17.266331512727273,0.2109090909090909,12.336383530909096,0
1,2,14.178586666666666,11.796651906122452,264,6.855232999999998,15.001953785714283,12.730261714285714,1.9285714285714286,19.015747928571432,0
1,3,0.0,12.588722184696584,110,-2.8424521016948994,16.014716299435026,18.361135395480215,1.5480225988700564,17.217777259887022,1
1,3,0.0,10.824344933018121,3920,7.6021289791666655,10.812315083333337,13.89521172916666,0.3125,15.097956812499996,0
1,3,0.0,12.32013874477957,550,-0.9687551016949136,20.296086372881366,17.472262525423726,4.067796610169491,19.17277052542372,0
1,2,13.450309818181818,12.887344486263732,112,-1.9983815321100842,21.344321284403673,19.460639660550456,1.3761467889908257,14.781854935779812,0
1,3,0.0,11.643556726277389,84,-0.5817009235669239,20.628401995223008,15.08014087579622,4.509554140127388,19.30276571337582,0
1,3,0.0,10.899700881364222,3003,6.022910999999999,19.971270999999998,17.557114,0.0,19.918422,1
1,4,11.658497999999998,11.064584850921298,343,-4.545388777777779,21.09362988888889,18.930848166666667,3.111111111111111,0.0,0
1,2,14.377102878787882,12.31470810810811,210,2.302328783783784,18.429865756756755,14.279738135135133,0.918918918918919,13.463764243243242,0
1,3,15.269425714285713,11.564931990366086,1683,-4.983821314285715,19.01119374285715,14.973903342857144,2.0285714285714285,14.570920857142855,1
1,3,13.571880235294115,11.0899856318115,2640,-0.21309480000000036,21.561539700000004,17.0126251,0.1,19.189318199999995,0
1,3,0.0,10.417651294992234,3948,-10.795673333333333,16.021879733333332,14.8918016,2.1333333333333333,20.064600066666667,1
1,4,14.019028,11.611967591836738,494,0.013743206896545956,21.76303,18.869586241379317,0.0,21.65169113793103,0
1,3,0.0,11.467024199616136,208,1.668319690909092,19.33640165454546,14.581298981818183,0.12727272727272726,16.319792945454545,0
1,3,0.0,11.869471464788749,80,0.4240296666666623,19.567788882352943,16.97043231372549,1.6862745098039216,15.519106529411767,1
1,4,0.0,11.986277301587302,224,0.0,0.0,16.496914714285715,0.0,0.0,0
1,4,14.886927916666666,11.795729135353524,522,-0.1722133999999933,13.010040342857138,16.84631102857143,0.6,16.703476742857138,0
1,4,0.0,11.966804749999998,7353,-3.953481799999995,19.971270999999998,18.4087274,3.8,0.0,1
1,4,0.0,9.760550375000005,695,-10.312607266666665,19.971270999999998,18.353421066666666,6.733333333333333,0.0,1
1,4,0.0,9.92715191428571,810,-7.791789263157894,16.51755452631579,12.350783210526316,0.0,0.0,1
1,1,0.0,11.555798050847457,13090,-0.5604498952380919,11.96696885714286,17.29860174285714,0.7428571428571429,7.164369009523809,0
1,2,12.209642,13.242597566473997,500,-0.8355965762712039,20.570974146892667,16.994761553672323,0.384180790960452,19.542100802259878,0
1,4,0.0,11.452212898134892,1032,0.6669145897435911,18.812545615384625,16.352606923076916,0.5128205128205128,18.154560897435896,0
1,3,0.0,10.93945628906251,980,2.2315407499999953,17.583608500000004,18.193906500000004,1.4,15.512620400000003,1
1,3,11.150066636363638,9.929243823599558,855,6.613251476190477,19.69980757142857,15.188032380952382,0.09523809523809523,13.002953428571427,0
1,3,14.863791800000001,11.389428007751935,814,-0.5483302705882309,19.12001815294114,16.723619488235283,0.6235294117647059,7.967530494117643,0
1,2,0.0,10.991584450949384,900,2.2697806210526235,14.773910547368413,16.511251610526326,4.6421052631578945,12.19847942105263,0
1,2,12.840374,11.165744887387314,374,21.605116019047614,21.357564999999997,0.0,0.0,0.0,1
1,3,0.0,11.568434889563113,6384,-2.7220535100671484,20.14542827516778,17.97477587919463,2.469798657718121,2.61820544295302,0
